Россия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1131;Вавилон-М;2,36;rur;0,3;usd
1131;Индиго(Таджикистан);2,54;rur;0,3;usd
1141;MLT(Таджикистан);6,39;rur;0,6;usd
1141;Билайн;3,45;rur;0,6;usd
1141;Вавилон-М;4,72;rur;0,6;usd
1141;Индиго(Таджикистан);5,15;rur;0,6;usd
1151;MLT(Таджикистан);10,96;rur;1;usd
1151;Билайн;5,76;rur;1;usd
1151;Вавилон-М;7,85;rur;1;usd
1151;Индиго(Таджикистан);5,23;rur;1;usd
1161;MLT(Таджикистан);28,17;rur;3;usd
1161;Билайн;17,31;rur;3;usd
1161;Вавилон-М;23,57;rur;3;usd
1161;Индиго(Таджикистан);25,72;rur;3;usd
1171;MLT(Таджикистан);42,52;rur;4,75;usd
1171;Билайн;28,85;rur;4,75;usd
1171;Вавилон-М;35,24;rur;4,75;usd
1171;Индиго(Таджикистан);42,87;rur;4,75;usd

Киргизия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1131;Бител;3,33;rur;0,3;usd
1131;МегаКом;2,39;rur;0,3;usd
1141;Бител;6,66;rur;0,6;usd
